frame_index,start_sec,end_sec,label
297,2.970,2.980,0
298,2.980,2.990,0
299,2.990,3.000,0
300,3.000,3.010,0
301,3.010,3.020,0
302,3.020,3.030,0
303,3.030,3.040,0
304,3.040,3.050,0
305,3.050,3.060,0
306,3.060,3.070,0
307,3.070,3.080,0
308,3.080,3.090,0
309,3.090,3.100,0
310,3.100,3.110,0
311,3.110,3.120,0
312,3.120,3.130,0
313,3.130,3.140,0
314,3.140,3.150,0
315,3.150,3.160,0
316,3.160,3.170,0
317,3.170,3.180,0
318,3.180,3.190,0
319,3.190,3.200,0
320,3.200,3.210,0
321,3.210,3.220,0
322,3.220,3.230,0
323,3.230,3.240,0
324,3.240,3.250,0
325,3.250,3.260,0
326,3.260,3.270,0
327,3.270,3.280,0
328,3.280,3.290,0
329,3.290,3.300,0
330,3.300,3.310,0
331,3.310,3.320,0
332,3.320,3.330,0
333,3.330,3.340,0
334,3.340,3.350,0
335,3.350,3.360,0
336,3.360,3.370,0
337,3.370,3.380,0
338,3.380,3.390,0
339,3.390,3.400,0
340,3.400,3.410,0
341,3.410,3.420,0
342,3.420,3.430,0
343,3.430,3.440,0
344,3.440,3.450,0
345,3.450,3.460,0
346,3.460,3.470,0
347,3.470,3.480,0
348,3.480,3.490,0
349,3.490,3.500,0
350,3.500,3.510,0
351,3.510,3.520,0
352,3.520,3.530,0
353,3.530,3.540,0
354,3.540,3.550,0
355,3.550,3.560,0
356,3.560,3.570,0
357,3.570,3.580,0
358,3.580,3.590,0
359,3.590,3.600,0
360,3.600,3.610,0
361,3.610,3.620,0
362,3.620,3.630,0
363,3.630,3.640,0
364,3.640,3.650,0
365,3.650,3.660,0
366,3.660,3.670,0
367,3.670,3.680,0
368,3.680,3.690,0
369,3.690,3.700,0
370,3.700,3.710,0
371,3.710,3.720,0
372,3.720,3.730,0
373,3.730,3.740,0
374,3.740,3.750,0
375,3.750,3.760,0
376,3.760,3.770,0
377,3.770,3.780,0
378,3.780,3.790,0
379,3.790,3.800,0
380,3.800,3.810,0
381,3.810,3.820,0
382,3.820,3.830,0
383,3.830,3.840,0
384,3.840,3.850,0
385,3.850,3.860,0
386,3.860,3.870,0
387,3.870,3.880,0
388,3.880,3.890,0
389,3.890,3.900,0
390,3.900,3.910,0
391,3.910,3.920,0
392,3.920,3.930,0
393,3.930,3.940,0
394,3.940,3.950,0
395,3.950,3.960,0
396,3.960,3.970,0
397,3.970,3.980,0
398,3.980,3.990,0
399,3.990,4.000,0
400,4.000,4.010,0
401,4.010,4.020,0
402,4.020,4.030,0
403,4.030,4.040,0
404,4.040,4.050,0
405,4.050,4.060,0
406,4.060,4.070,0
407,4.070,4.080,0
408,4.080,4.090,0
409,4.090,4.100,0
410,4.100,4.110,0
411,4.110,4.120,0
412,4.120,4.130,0
413,4.130,4.140,0
414,4.140,4.150,0
415,4.150,4.160,0
416,4.160,4.170,0
417,4.170,4.180,0
418,4.180,4.190,0
419,4.190,4.200,0
420,4.200,4.210,0
421,4.210,4.220,0
422,4.220,4.230,0
423,4.230,4.240,0
424,4.240,4.250,0
425,4.250,4.260,0
426,4.260,4.270,0
427,4.270,4.280,0
428,4.280,4.290,0
429,4.290,4.300,0
430,4.300,4.310,0
431,4.310,4.320,0
432,4.320,4.330,0
433,4.330,4.340,0
434,4.340,4.350,0
435,4.350,4.360,0
436,4.360,4.370,0
437,4.370,4.380,0
438,4.380,4.390,0
439,4.390,4.400,0
440,4.400,4.410,0
441,4.410,4.420,0
442,4.420,4.430,0
443,4.430,4.440,0
444,4.440,4.450,0
445,4.450,4.460,0
446,4.460,4.470,0
447,4.470,4.480,0
448,4.480,4.490,0
449,4.490,4.500,0
450,4.500,4.510,0
451,4.510,4.520,0
452,4.520,4.530,0
453,4.530,4.540,0
454,4.540,4.550,0
455,4.550,4.560,0
456,4.560,4.570,0
457,4.570,4.580,0
458,4.580,4.590,0
459,4.590,4.600,0
460,4.600,4.610,0
461,4.610,4.620,0
462,4.620,4.630,0
463,4.630,4.640,0
464,4.640,4.650,0
465,4.650,4.660,0
466,4.660,4.670,0
467,4.670,4.680,0
468,4.680,4.690,0
469,4.690,4.700,0
470,4.700,4.710,0
471,4.710,4.720,0
472,4.720,4.730,0
473,4.730,4.740,0
474,4.740,4.750,0
475,4.750,4.760,0
476,4.760,4.770,0
477,4.770,4.780,0
478,4.780,4.790,0
479,4.790,4.800,0
480,4.800,4.810,0
481,4.810,4.820,0
482,4.820,4.830,0
483,4.830,4.840,0
484,4.840,4.850,0
485,4.850,4.860,0
486,4.860,4.870,0
487,4.870,4.880,0
488,4.880,4.890,0
489,4.890,4.900,0
490,4.900,4.910,0
491,4.910,4.920,0
492,4.920,4.930,0
493,4.930,4.940,0
494,4.940,4.950,0
495,4.950,4.960,0
496,4.960,4.970,0
497,4.970,4.980,0
498,4.980,4.990,0
499,4.990,5.000,0
